Code,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018
90400,554,651,573,555,517,568,536,482,557,579,643,749,599,710,734,607,570,605,571,553
90404,652,646,616,527,535,541,455,492,610,595,679,716,689,702,701,594,553,557,527,569
90405,778,731,674,630,689,665,574,322,370,368,448,450,492,479,442,382,400,411,402,357
90408,1095,1017,866,908,973,831,590,511,552,575,610,671,713,640,608,466,531,487,494,541
90411,526,363,471,410,448,408,361,351,453,425,520,524,567,615,555,470,516,494,375,358
90413,756,707,681,544,491,356,0,74,475,496,552,665,627,642,658,556,552,567,529,520
90414,864,874,938,1073,933,895,764,777,976,935,1033,1114,1057,1034,1117,971,971,997,959,946
90419,806,773,738,701,740,709,640,646,733,641,724,782,788,778,750,633,666,642,615,606
90420,931,888,817,763,768,748,443,435,522,552,916,1052,1087,1016,989,928,1016,990,588,663
90422,624,605,549,523,513,513,442,452,546,561,622,652,693,678,622,548,596,548,586,580
90424,376,396,358,340,368,347,283,331,415,409,502,491,557,543,533,417,467,442,447,379
90425,545,493,462,398,442,412,377,403,475,488,545,619,664,624,605,491,584,484,516,502
90427,720,644,586,549,593,575,322,253,318,357,401,409,477,454,440,373,405,378,336,334
90428,510,441,367,367,361,373,342,306,368,386,439,439,503,497,467,356,377,378,378,354
90429,576,546,512,470,490,490,441,449,541,545,652,702,772,785,747,366,0,0,0,0
90431,783,717,571,505,573,554,491,520,679,692,802,841,811,873,791,719,687,668,642,615
90433,583,565,519,524,501,409,378,370,477,474,463,455,506,485,453,368,397,398,363,366
90434,779,806,819,870,720,789,707,676,558,547,623,691,586,666,661,588,542,516,450,481
90435,438,474,458,400,413,408,373,360,419,461,542,588,551,609,647,545,547,309,260,252
90436,679,613,585,533,578,566,452,496,575,587,665,717,783,801,760,673,720,690,672,724
90440,425,382,331,328,337,316,260,279,339,337,359,375,400,429,416,321,368,340,310,288
90443,554,477,471,428,421,459,373,387,460,481,639,733,820,841,751,624,669,692,712,751
90445,781,823,838,738,658,549,461,459,563,615,706,783,801,828,845,690,764,743,689,678
90448,422,454,443,403,388,559,517,490,441,423,508,566,530,579,575,462,487,493,499,541
90449,524,482,440,413,448,423,375,376,439,412,490,510,558,502,522,428,447,441,438,414
90451,313,333,333,331,330,363,335,327,457,495,582,643,563,619,628,548,537,557,528,623
90452,397,435,350,298,324,349,329,329,401,428,479,529,467,510,466,413,435,397,388,406
90453,414,359,338,321,310,324,260,260,341,334,404,462,414,411,434,358,420,371,371,425
90454,456,411,386,336,370,333,315,305,363,359,413,421,497,484,433,356,401,366,346,352
90457,284,374,344,326,328,338,343,184,174,225,269,285,269,278,272,237,208,222,244,303
90459,403,344,356,310,352,337,289,276,338,358,404,425,464,472,442,370,373,383,352,345
90461,632,607,613,556,582,579,515,522,577,570,680,718,781,775,766,654,666,665,647,695
90462,595,538,501,439,404,380,301,344,408,469,510,531,600,503,423,333,380,351,339,340
90463,483,422,428,413,424,364,314,323,417,424,491,506,589,575,548,516,562,514,553,572
90465,356,328,312,283,310,297,267,241,316,309,350,393,388,406,396,333,368,351,353,321
90466,0,0,0,0,0,0,0,0,0,469,587,637,617,676,600,534,520,530,481,447
90467,403,334,335,296,315,328,275,309,393,412,475,488,548,515,480,389,429,393,395,442
90468,611,501,486,413,432,403,385,366,429,415,534,548,621,643,622,526,550,541,568,592
90469,399,417,386,347,384,355,284,306,372,383,452,485,552,535,477,409,477,450,417,445
90471,440,383,356,295,318,318,282,275,358,0,0,0,284,335,323,262,305,291,304,295
90473,407,365,288,336,311,316,278,282,335,338,412,432,458,433,438,330,381,387,396,349
90475,221,213,222,226,245,164,142,150,147,157,203,183,222,258,274,218,246,249,234,224
90476,384,443,488,443,358,231,354,244,258,288,365,428,410,538,578,525,517,522,481,485
90481,0,268,257,230,243,215,193,205,256,292,325,370,353,409,368,303,342,326,306,267
90482,0,0,364,351,327,318,298,293,371,343,412,464,500,499,472,368,406,368,0,0
90484,0,0,0,186,359,168,151,153,193,207,215,275,257,367,345,305,290,309,309,277
90485,0,0,0,33,331,277,251,241,337,358,405,411,486,440,479,409,419,435,419,392
90486,0,0,0,39,271,228,197,216,243,234,280,285,343,342,317,223,219,223,206,191
90487,0,0,0,0,269,263,269,268,320,358,416,458,434,487,475,408,425,422,402,406
90488,0,0,0,0,203,273,259,252,321,329,369,424,387,468,444,380,396,376,0,0
90489,0,0,0,0,360,284,241,234,359,370,425,468,550,533,515,453,464,449,404,423
90491,0,0,0,0,206,229,181,212,269,273,344,408,461,458,432,359,372,364,327,301
90493,0,0,0,0,363,476,363,358,432,398,356,447,429,476,456,363,398,353,336,345
90494,0,0,0,0,0,508,437,413,517,530,688,824,893,908,861,816,941,949,915,789
90495,0,0,0,0,0,221,201,239,316,352,406,467,430,417,451,393,421,409,400,400
90496,0,0,0,0,0,98,113,122,160,149,188,203,213,223,202,162,187,182,169,153
90497,0,0,0,0,0,305,357,335,437,479,549,633,644,639,610,515,528,553,503,433
90499,0,0,0,0,0,225,210,216,309,300,371,405,381,460,419,349,325,337,288,251
90501,0,0,0,0,0,281,201,271,369,383,446,448,495,433,391,358,321,310,291,267
90503,0,0,0,0,0,146,295,235,299,308,394,388,412,453,415,351,364,421,370,416
90504,0,0,0,0,0,0,198,317,348,357,425,505,433,449,428,372,364,334,269,262
90506,0,0,0,0,0,0,0,168,238,246,287,325,356,358,347,298,303,303,286,281
90507,0,0,0,0,0,0,0,142,214,218,254,303,242,265,257,240,224,256,242,227
90508,0,0,0,0,0,0,0,453,458,477,585,552,620,603,552,464,504,435,0,0
90509,0,0,0,0,0,0,0,246,225,206,246,248,288,288,271,238,240,235,250,226
90511,0,0,0,0,0,0,0,125,218,195,240,261,268,274,250,234,259,258,243,275
90512,0,0,0,0,0,0,0,195,558,527,607,716,629,711,757,671,630,608,274,238
90515,0,0,0,0,0,0,0,0,287,327,353,424,386,424,415,323,336,330,359,363
90517,0,0,0,0,0,0,0,0,319,470,481,496,531,494,477,389,423,428,399,419
90518,0,0,0,0,0,0,0,0,0,289,394,360,350,356,339,276,302,313,317,364
