OBJECTID;Join_Count;TARGET_FID;LINK_ID;POI_ID;SEQ_NUM;FAC_TYPE;POI_NAME;POI_LANGCD;POI_NMTYPE;POI_ST_NUM;ST_NUM_FUL;ST_NFUL_LC;ST_NAME;ST_LANGCD;POI_ST_SD;ACC_TYPE;PH_NUMBER;CHAIN_ID;NAT_IMPORT;PRIVATE;IN_VICIN;NUM_PARENT;NUM_CHILD;PERCFRREF;VANCITY_ID;ACT_ADDR;ACT_LANGCD;ACT_ST_NAM;ACT_ST_NUM;ACT_ADMIN;ACT_POSTAL;AIRPT_TYPE;POLYGON_NM;FED_OKR;BUFF_DIST;ORIG_FID;name_1;all_scales;X;Y
1;1;958;852052133.0;1100626011.0;1;4100;МЕТРО-БЕЗЫМЯНКА;RUS;B; ; ; ;УЛИЦА ПОБЕДЫ;RUS;R; ; ;0.0;N;N;N;1;0;80;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Безымянка;1;50.247939999901526;53.212439999675674
2;1;959;851921510.0;1100626010.0;1;4100;МЕТРО-БЕЗЫМЯНКА;RUS;B; ; ; ;УЛИЦА ПОБЕДЫ;RUS;L; ; ;0.0;N;N;N;0;3;80;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Безымянка;0;50.24779999926111;53.21257999977124
3;1;960;851918120.0;1100626009.0;1;4100;МЕТРО-БЕЗЫМЯНКА;RUS;B; ; ; ;УЛИЦА ПОБЕДЫ;RUS;L; ; ;0.0;N;N;N;1;0;10;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Безымянка;0;50.249040000441646;53.21321000018826
4;1;961;1167317376.0;1100626008.0;1;4100;МЕТРО-СПОРТИВНАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;L; ; ;0.0;N;N;N;0;1;8;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Спортивная;1;50.200079999267004;53.20102999951886
5;1;962;852895247.0;1100626007.0;1;4100;МЕТРО-ПОБЕДА;RUS;B; ; ; ;УЛИЦА 22-ГО ПАРТСЪЕЗДА;RUS;L; ; ;0.0;N;N;N;1;0;90;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Победа;1;50.235169999878444;53.20648999964825
6;1;963;967055042.0;1100626003.0;1;4100;МЕТРО-СОВЕТСКАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;L; ; ;0.0;N;N;N;0;1;94;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Советская;1;50.22167000010937;53.201650000377526
7;1;964;851693369.0;1100626004.0;1;4100;МЕТРО-РОССИЙСКАЯ;RUS;B; ; ; ; ; ;R; ; ;0.0;N;N;N;0;1;50;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Российская;1;50.14925999946568;53.21225000023606
8;1;965;852895259.0;1100626005.0;1;4100;МЕТРО-ПОБЕДА;RUS;B; ; ; ;УЛИЦА 22-ГО ПАРТСЪЕЗДА;RUS;R; ; ;0.0;N;N;N;0;3;70;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Победа;0;50.23486999940448;53.20695000040657
9;1;966;852895245.0;1100626006.0;1;4100;МЕТРО-ПОБЕДА;RUS;B; ; ; ;УЛИЦА 22-ГО ПАРТСЪЕЗДА;RUS;R; ; ;0.0;N;N;N;1;0;90;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Победа;0;50.23533000061033;53.20660999966714
10;1;1078;979391427.0;1101322969.0;1;4100;МЕТРО-КИРОВСКАЯ;RUS;B; ; ; ; ; ;R; ; ;0.0;N;N;N;0;0;99;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Кировская;1;50.27098000019009;53.210699999353366
11;1;1086;852887557.0;1058636246.0;1;4100;МЕТРО-СОВЕТСКАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;R; ; ;0.0;N;N;N;1;0;20;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Советская;0;50.22170000024661;53.20149999962099
12;1;1114;852874170.0;1058548172.0;1;4100;МЕТРО-ГАГАРИНСКАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;L; ; ;0.0;N;N;N;0;1;75;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Гагаринская;0;50.177399999726866;53.200390000091495
